Year,Total_CombinedSI
1951,65834.57609934
1952,72370.358640156
1953,110490.88063841
1954,81500.697056083
1955,69375.321677431
1956,25507.28328858
1957,24453.368607416
1958,15712.190768068
1959,47758.028852092
1960,55207.41813268
1961,44304.849972582
1962,35130.821803303
1963,35040.118610872
1964,35953.714297688
1965,38389.603707851
1966,7193.418074382
1967,9647.05404621
1968,9384.891921815
1969,12887.472785414999
1970,30131.783922708
1971,38921.100554563
1972,25113.790506495
1973,16191.387984966
1974,40544.879741895
1975,70207.84122469599
1976,60816.669789196
1977,76584.671414693
1978,100672.614793206
1979,62596.067889853
1980,83702.019407324
1981,52364.78250578
1982,100953.915829907
1983,66201.29862645
1984,26054.16702513
1985,25023.734775703
1986,41575.26516012
1987,37747.577757476
1988,24976.25860981
1989,66051.761322071
1990,67145.67699174
1991,45628.843097
1992,82710.191122735
1993,90196.67002004
1994,67102.879929037
1995,64898.13285786
1996,71346.19340251
1997,58079.776353299
1998,74616.313803008
1999,84881.834904326
2000,72688.359951329
