X,Y,FID,OBJECTID,Year,Region,StatArea,Section,LocationCo,LocationNa,SpawnNumbe,Eastings,Northings,Longitude,Latitude,Start,End_,Length,Width,Method,SurfSI,MacroSI,UnderSI,CombinedSI,gis_date,decade,year_txt
-13819858.706,6319034.8108,1,14042,1958,SoG,17,172,995,Nanoose Bay,4, , ,-124.145903,49.259655,19580306000000,NA,923,91,Surface,293.1499957,0,0,293.1499957,1958/01/02,1950s,1958
-13819858.706,6319034.8108,2,14043,1958,SoG,17,172,995,Nanoose Bay,5, , ,-124.145903,49.259655,19580313000000,NA,4113,18,Surface,1306.311953,0,0,1306.311953,1958/01/02,1950s,1958
-13824626.4085,6320327.4899,3,14044,1958,SoG,17,172,999,Nanoose Bay Hd,1, , ,-124.188732,49.267233,19580302000000,NA,457,9,Surface,313.2256216,0,0,313.2256216,1958/01/02,1950s,1958
-13824626.4085,6320327.4899,4,14045,1958,SoG,17,172,999,Nanoose Bay Hd,2, , ,-124.188732,49.267233,19580312000000,NA,4113,18,Surface,1306.311953,0,0,1306.311953,1958/01/02,1950s,1958
-13814611.2166,6319034.8108,5,14046,1958,SoG,17,172,1000,Nanoose Bay Entr,1, , ,-124.098764,49.259655,19580326000000,NA,927,5,Surface,29.37477575,0,0,29.37477575,1958/01/02,1950s,1958
-13781352.9602,6273306.089,6,14047,1958,SoG,17,173,940,Ladysmith Hrbr,1, , ,-123.8,48.990833,19580219000000,NA,91,5,Surface,5.707140784,0,0,5.707140784,1958/01/02,1950s,1958
-13781352.9602,6273306.089,7,14048,1958,SoG,17,173,940,Ladysmith Hrbr,2, , ,-123.8,48.990833,19580409000000,NA,1005,5,Surface,63.02941196,0,0,63.02941196,1958/01/02,1950s,1958
-13781352.9602,6273306.089,8,14049,1958,SoG,17,173,940,Ladysmith Hrbr,3, , ,-123.8,48.990833,19580409000000,NA,1005,5,Surface,63.02941196,0,0,63.02941196,1958/01/02,1950s,1958
-13775385.011,6281321.1697,9,14050,1958,SoG,17,173,941,Yellow Pt,1, , ,-123.746389,49.038056,19580323000000,NA,658,34,Surface,62.79346598,0,0,62.79346598,1958/01/02,1950s,1958
-13775385.011,6281321.1697,10,14051,1958,SoG,17,173,941,Yellow Pt,2, , ,-123.746389,49.038056,19580323000000,NA,823,5,Surface,78.53954787,0,0,78.53954787,1958/01/02,1950s,1958
-13776590.935,6272599.3656,11,14052,1958,SoG,17,173,953,Coffin Pt (Is),1, , ,-123.757222,48.986667,19580227000000,NA,274,4,Surface,20.98273715,0,0,20.98273715,1958/01/02,1950s,1958
-13776590.935,6272599.3656,12,14053,1958,SoG,17,173,953,Coffin Pt (Is),2, , ,-123.757222,48.986667,19580227000000,NA,274,5,Surface,20.98273715,0,0,20.98273715,1958/01/02,1950s,1958
-13777611.4008,6272410.9047,13,14056,1958,SoG,17,173,985,Evening Cv,1, , ,-123.766389,48.985556,19580219000000,NA,91,4,Surface,6.968719274,0,0,6.968719274,1958/01/02,1950s,1958
-13780363.4413,6297137.5398,14,14057,1958,SoG,17,173,986,Mudge Is,1, , ,-123.791111,49.131111,19580325000000,NA,3108,5,Surface,278.0651281,0,0,278.0651281,1958/01/02,1950s,1958
-13780363.4413,6297137.5398,15,14058,1958,SoG,17,173,986,Mudge Is,2, , ,-123.791111,49.131111,19580327000000,NA,320,28,Surface,69.28134729,0,0,69.28134729,1958/01/02,1950s,1958
-13780363.4413,6297137.5398,16,14059,1958,SoG,17,173,986,Mudge Is,3, , ,-123.791111,49.131111,19580324000000,NA,3016,37,Surface,510.8882721,0,0,510.8882721,1958/01/02,1950s,1958
-13778724.5957,6278774.4207,17,14060,1958,SoG,17,173,988,Kulleet Bay,1, , ,-123.776389,49.023056,19580310000000,NA,6215,16,Surface,1390.101972,0,0,1390.101972,1958/01/02,1950s,1958
-13778724.5957,6278774.4207,18,14061,1958,SoG,17,173,988,Kulleet Bay,2, , ,-123.776389,49.023056,19580313000000,NA,1723,55,Surface,244.0717249,0,0,244.0717249,1958/01/02,1950s,1958
-13778724.5957,6278774.4207,19,14062,1958,SoG,17,173,988,Kulleet Bay,3, , ,-123.776389,49.023056,19580313000000,NA,4570,52,Surface,1397.015683,0,0,1397.015683,1958/01/02,1950s,1958
-13737876.4652,6223173.078,20,14063,1958,SoG,18,181,1035,Colburne Pass,1, , ,-123.409444,48.694444,19580330000000,NA,731,5,Surface,29.42996386,0,0,29.42996386,1958/01/02,1950s,1958
-13742607.5435,6247615.3305,21,14064,1958,SoG,18,181,1050,Ganges Hrbr,1, , ,-123.451944,48.839167,19580304000000,NA,37,37,Surface,1.544786065,0,0,1.544786065,1958/01/02,1950s,1958
-13742607.5435,6247615.3305,22,14065,1958,SoG,18,181,1050,Ganges Hrbr,2, , ,-123.451944,48.839167,19580304000000,NA,850,14,Surface,76.58406833,0,0,76.58406833,1958/01/02,1950s,1958
-13742607.5435,6247615.3305,23,14066,1958,SoG,18,181,1050,Ganges Hrbr,3, , ,-123.451944,48.839167,19580305000000,NA,329,37,Surface,52.48517856,0,0,52.48517856,1958/01/02,1950s,1958
-13742607.5435,6247615.3305,24,14067,1958,SoG,18,181,1050,Ganges Hrbr,4, , ,-123.451944,48.839167,19580304000000,NA,941,55,Surface,150.1171824,0,0,150.1171824,1958/01/02,1950s,1958
