ACTIVE PASS LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE SALINITIES (PSU),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1967,999.99,26.67,27.83,27.69,26.23,22.19,22.65,21.78,25.48,27.54,24.66,28.07
1968,28.14,26.31,26.85,26.49,25.71,20.71,17.12,25.37,25.16,27.80,999.99,999.99
1969,999.99,999.99,27.55,27.33,25.37,20.49,20.35,19.43,21.91,25.44,27.33,27.04
1970,27.34,27.38,27.50,28.07,27.16,24.00,25.33,20.00,24.53,28.41,28.55,29.41
1971,29.22,28.02,28.74,28.45,25.43,26.32,20.71,24.85,25.97,27.25,28.16,28.09
1972,28.84,28.90,27.92,28.43,23.22,20.60,22.68,22.35,26.30,28.11,28.58,28.94
1973,28.85,27.63,28.29,28.12,27.44,25.74,25.81,26.93,27.47,27.96,27.83,28.34
1974,28.45,28.45,27.68,27.27,24.62,22.30,19.13,22.37,25.40,27.65,28.64,29.28
1975,28.50,28.69,28.74,29.31,27.67,24.86,22.98,26.07,23.84,28.69,27.04,26.60
1976,26.96,27.31,28.29,27.13,25.32,21.88,21.74,23.85,21.39,24.98,26.34,27.94
1977,27.20,28.22,28.48,27.66,28.55,25.49,25.11,24.66,25.66,27.74,28.39,26.51
1978,27.29,27.96,28.07,28.40,25.56,24.54,23.77,25.35,26.22,25.49,26.72,28.43
1979,29.10,29.60,28.60,29.22,27.15,25.29,24.85,25.89,26.61,27.85,27.63,29.30
1980,28.67,28.31,28.22,27.16,26.77,24.78,23.27,25.05,26.97,25.93,27.82,26.82
1981,23.69,26.30,26.29,27.20,23.92,25.10,21.38,24.29,26.38,26.88,26.40,27.15
1982,27.96,28.69,27.06,27.74,26.49,21.86,23.32,22.75,23.25,26.61,26.80,27.90
1983,27.72,27.53,27.46,26.00,25.12,24.09,22.66,21.92,24.94,26.96,27.36,27.07
1984,26.47,27.78,27.71,27.46,27.19,24.41,21.11,23.93,25.05,26.02,27.23,27.09
1985,27.40,28.59,28.91,27.55,27.13,22.91,22.41,25.47,27.00,29.04,26.99,28.10
1986,28.64,28.27,27.98,28.06,26.82,26.17,25.78,25.28,27.97,27.77,29.14,28.90
1987,28.68,27.85,27.21,27.74,24.85,23.34,27.06,25.30,27.70,28.05,28.93,29.22
1988,29.25,28.87,29.19,28.66,28.00,23.89,24.16,24.73,26.62,28.58,29.35,27.72
1989,28.89,28.37,28.84,999.99,27.81,26.80,25.71,23.88,25.85,28.76,999.99,999.99
1990,28.16,29.15,28.88,27.49,29.50,22.65,19.31,23.84,25.05,999.99,999.99,999.99
1991,26.65,999.99,999.99,999.99,27.35,26.81,21.10,21.42,23.07,999.99,999.99,999.99
1992,28.35,999.99,999.99,26.46,23.15,23.24,24.57,24.63,27.14,27.45,999.99,26.97
1993,28.38,27.94,28.40,29.04,25.71,22.66,25.53,25.25,24.97,27.26,28.35,29.10
1994,28.52,29.20,28.85,26.26,26.73,25.72,23.23,24.97,26.61,27.92,29.50,29.48
1995,28.89,27.95,29.59,28.87,23.85,22.89,24.82,24.18,26.75,29.03,28.70,27.79
1996,27.74,28.03,27.70,28.75,25.99,24.26,20.04,23.12,25.16,26.88,28.30,29.33
1997,28.41,27.97,28.42,27.25,22.30,22.94,19.69,21.43,24.26,23.27,23.84,27.34
1998,28.08,28.38,27.32,25.91,24.58,26.12,25.19,24.15,26.65,28.98,29.20,29.34
1999,28.27,29.16,28.25,25.85,24.12,23.15,18.32,22.26,22.56,26.13,25.84,27.49
2000,27.24,27.56,28.06,27.68,25.83,22.36,22.91,24.46,26.12,26.36,26.53,27.54
2001,27.95,28.30,28.87,28.35,26.27,26.80,22.79,25.67,26.31,27.72,26.77,27.26
2002,27.36,26.91,27.98,26.94,26.25,22.02,18.50,25.13,25.08,26.10,27.72,29.01
2003,28.88,27.63,28.76,28.51,26.08,23.53,22.18,27.72,26.84,27.50,25.37,27.55
2004,26.92,26.79,27.09,25.84,25.35,26.12,24.04,27.41,25.21,26.33,25.98,25.23
2005,25.96,24.57,26.61,27.82,24.10,24.57,23.15,24.26,26.19,27.39,25.82,26.62
2006,27.02,25.85,27.09,27.26,25.96,21.18,24.36,26.16,26.67,26.67,28.31,27.76
2007,27.28,27.02,26.64,24.67,24.50,22.53,21.66,20.70,24.72,25.25,24.95,26.88
2008,27.33,26.18,26.65,27.07,26.45,26.25,26.72,25.23,23.70,26.24,26.33,26.91
2009,26.00,26.88,28.17,27.49,26.51,25.63,23.54,25.67,26.16,27.49,27.86,25.32
2010,27.11,26.77,27.01,26.75,24.64,23.32,999.99,25.34,29.68,32.01,30.69,31.91
2011,30.65,30.65,31.23,30.91,29.44,25.01,21.97,22.89,28.62,26.34,31.12,29.35
